h3_9,lat,lon,nearest_highway,road_criticality,hospital,market,retail,school,transit,n_poi,osm_context
89618924653ffff,12.901006138235294,77.66012849705882,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89618925a6fffff,12.973017788135596,77.60026398813558,tertiary,0.45,0.0,0.0,1.0,0.0,0.0,1,"tertiary road, 1 retail"
896189219cfffff,12.98756361482821,77.73474810452079,primary,0.8,0.0,0.0,1.0,0.0,3.0,4,"primary road, 1 retail, 3 transit"
8960145b4abffff,12.975096675,77.58697624999999,primary_link,0.2,0.0,0.0,0.0,2.0,3.0,5,"primary_link road, 2 school, 3 transit"
8961892c937ffff,13.035884845833335,77.57500718958333,tertiary,0.45,1.0,0.0,0.0,0.0,0.0,1,"tertiary road, 1 hospital"
89618924e23ffff,12.89616439090909,77.5860019,tertiary,0.45,0.0,0.0,3.0,0.0,0.0,3,"tertiary road, 3 retail"
89618924a4fffff,12.921156550423886,77.57928947088826,residential,0.25,1.0,0.0,0.0,0.0,1.0,2,"residential road, 1 hospital, 1 transit"
8961892e48fffff,12.97250579271255,77.71124534048583,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89601459527ffff,13.021123272413794,77.52846167586208,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892288bffff,12.883571125277408,77.75255939420808,residential,0.25,0.0,0.0,0.0,0.0,1.0,1,"residential road, 1 transit"
8961892f683ffff,13.044418285714286,77.7485475,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
896014595abffff,13.02009374375,77.53773018125,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
8960145aa53ffff,12.97003097,77.49663714,secondary,0.6,0.0,0.0,0.0,0.0,1.0,1,"secondary road, 1 transit"
89618925a97ffff,12.9518487625,77.610477275,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
8961892e60fffff,13.004312625,77.71023815,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
8961892e5cbffff,12.975141254035144,77.69753839892401,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
896189255abffff,12.91399416923077,77.65174437692308,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145b063ffff,13.000876849118043,77.5702102835821,residential,0.25,1.0,0.0,2.0,4.0,1.0,8,"residential road, 2 retail, 4 school, 1 hospital, 1 transit"
8960145b497ffff,12.96763666788991,77.59357956972477,residential,0.25,1.0,0.0,0.0,1.0,0.0,2,"residential road, 1 school, 1 hospital"
896014514c3ffff,12.8741824,77.53871236666667,residential,0.25,0.0,0.0,0.0,0.0,2.0,2,"residential road, 2 transit"
89618924273ffff,12.916315017022328,77.63451570848301,trunk,0.9,1.0,0.0,0.0,2.0,2.0,5,"trunk road, 2 school, 1 hospital, 2 transit"
8961892ee97ffff,12.99114067467248,77.6570910778538,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8960145964bffff,13.06413418235294,77.57167922352942,secondary,0.6,0.0,0.0,2.0,0.0,1.0,3,"secondary road, 2 retail, 1 transit"
8961892404bffff,12.8979876125,77.634786625,tertiary,0.45,0.0,1.0,0.0,0.0,0.0,1,"tertiary road, 1 market"
89601459573ffff,13.029162813896727,77.53929238837075,trunk,0.9,2.0,0.0,0.0,0.0,4.0,6,"trunk road, 2 hospital, 4 transit"
89618920a2bffff,12.96568044280822,77.71783238618721,living_street,0.15,3.0,0.0,2.0,1.0,0.0,6,"living_street road, 2 retail, 1 school, 3 hospital"
8961892553bffff,12.91852674852941,77.65173024705882,secondary,0.6,0.0,0.0,0.0,1.0,1.0,2,"secondary road, 1 school, 1 transit"
89618927667ffff,12.903560447951527,77.70419101062288,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
89601459b9bffff,13.056081516666666,77.47706275,motorway_link,0.2,0.0,0.0,0.0,0.0,0.0,0,motorway_link road
8961892cd13ffff,13.022167233333334,77.60213549999999,secondary,0.6,0.0,0.0,0.0,1.0,1.0,2,"secondary road, 1 school, 1 transit"
8960145b26bffff,13.02769395116279,77.5749465996124,tertiary,0.45,0.0,0.0,0.0,0.0,2.0,2,"tertiary road, 2 transit"
8961892731bffff,12.904214660465115,77.67594796046512,secondary,0.6,0.0,0.0,0.0,0.0,1.0,1,"secondary road, 1 transit"
8960145b38fffff,13.00295308,77.55974474,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89618925a1bffff,12.96566325,77.61017385,tertiary,0.45,4.0,0.0,0.0,2.0,2.0,8,"tertiary road, 2 school, 4 hospital, 2 transit"
8960145854fffff,12.980237566666666,77.51124996666665,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8960145a0d3ffff,12.938482072222222,77.55402337777778,secondary,0.6,1.0,0.0,2.0,0.0,0.0,3,"secondary road, 2 retail, 1 hospital"
8961892ea47ffff,13.022341323025373,77.63844185811287,tertiary,0.45,2.0,0.0,1.0,0.0,0.0,3,"tertiary road, 1 retail, 2 hospital"
8961892e903ffff,12.984747241666668,77.6120659,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8960145a347ffff,12.961141338438088,77.52795328458463,residential,0.25,1.0,0.0,0.0,0.0,0.0,1,"residential road, 1 hospital"
89618925527ffff,12.917497885714283,77.64483867142857,secondary,0.6,1.0,0.0,0.0,0.0,1.0,2,"secondary road, 1 hospital, 1 transit"
8960145939bffff,13.05502412638889,77.53485321666666,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
8961892e68bffff,12.995622061538462,77.71775066153846,residential,0.25,0.0,0.0,0.0,2.0,1.0,3,"residential road, 2 school, 1 transit"
8960145b44bffff,12.989118964285714,77.59441942857143,tertiary,0.45,2.0,0.0,0.0,1.0,0.0,3,"tertiary road, 1 school, 2 hospital"
8961892728fffff,12.90682632875705,77.69658369115656,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8960145b493ffff,12.969565975,77.59738092500001,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892f473ffff,13.035967348888889,77.73630242888889,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
896014595cfffff,13.02498751935484,77.54666031935484,trunk,0.9,0.0,1.0,0.0,0.0,0.0,1,"trunk road, 1 market"
8961892c983ffff,13.03024477,77.58703751499999,tertiary,0.45,0.0,0.0,0.0,0.0,1.0,1,"tertiary road, 1 transit"
89618925a63ffff,12.969696463157897,77.60276996842106,primary,0.8,0.0,0.0,0.0,7.0,1.0,8,"primary road, 7 school, 1 transit"
